Year, WDC, WDC Points, WDC Points Per Race, WDC Points Per Finished Race, WDC Point Contribution,WDC Average Position,Standard Deviation,WDC Median Position,Finish Rate (%), Winning Point Margin, WDC winning team, WCC winning team, split WDC?, WDC Teammates
1950,farina,87,14.5,21.75,33.0,1.75,1.5,1.0,66.7,12,N/A,N/A,,fangio,fagioli,reg_parnell
1951,fangio,113,16.142857142857142,18.833333333333332,38.4,2.6666666666666665,3.141,1.5,85.7,7,N/A,N/A,,farina,bonetto,fagioli,sanesi,graffenried
1952,ascari,150,21.428571428571427,25.0,36.7,1.0,0.0,1.0,85.7,58,N/A,N/A,,farina,taruffi,fischer,villoresi,laurent,simon,hirt,tornaco
1953,ascari,141,17.625,20.142857142857142,31.5,2.4285714285714284,2.699,1,87.5,50,N/A,N/A,,farina,hawthorn,villoresi,rosier,swaters
1954,fangio,177,22.125,22.125,70.8,1.625,1.188,1.0,100.0,74,N/A,N/A,,kling,herrmann
1955,fangio,118,19.666666666666668,23.6,44.4,1.2,0.447,1,83.3,43,N/A,N/A,,moss,taruffi,kling,herrmann
1956,fangio,123,17.571428571428573,20.5,35.2,1.8333333333333333,1.169,1.5,85.7,30,N/A,N/A,,collins,castellotti,frere,musso,portago,gendebien,andre_pilette
1957,fangio,136,19.428571428571427,22.666666666666668,34.1,1.3333333333333333,0.516,1.0,85.7,47,N/A,N/A,,moss,gregory,schell,behra,menditeguy,scarlatti,bonnier,bueb
1958,hawthorn,140,14.0,17.5,44.4,2.375,1.188,2.0,80.0,22,ferrari,vanwall,y,collins,musso,phil_hill,trips,gendebien
1959,jack_brabham,110,13.75,18.333333333333332,27.9,2.3333333333333335,1.211,2.5,75.0,25,cooper-climax,cooper-climax,,moss,trintignant,mclaren,gregory,schell,scarlatti
1960,jack_brabham,137,17.125,22.833333333333332,26.6,1.5,1.225,1.0,75.0,16,cooper-climax,cooper-climax,,mclaren,moss,phil_hill,gendebien,brooks,henry_taylor,bianchi,flockhart
1961,phil_hill,118,16.857142857142858,16.857142857142858,40.5,3.0,2.769,2,100.0,32,ferrari,ferrari,,trips,ginther,baghetti
1962,hill,150,16.666666666666668,18.75,76.9,2.625,2.774,1.5,88.9,61,brm,brm,,ginther,johnstone
1963,clark,208,20.8,23.11111111111111,72.0,1.3333333333333333,0.707,1,90.0,101,lotus-climax,lotus-climax,,jack_brabham,trevor_taylor,hailwood,collomb
1964,surtees,119,11.9,19.833333333333332,56.4,1.8333333333333333,0.753,2.0,60.0,3,ferrari,ferrari,,bandini,rodriguez,scarfiotti
